"Trait","SI","X0","XS_GEBV","XS_GETGV","DS_GEBV","DS_GETGV"
"N_Roots",10,4.29294224924012,4.54141895187652,4.55744870663526,5.78802807515937,6.16142594142655
"N_Roots",15,4.29294224924012,4.50334357024566,4.51974103107452,4.90109833279913,5.28306156167238
"N_Roots",20,4.29294224924012,4.48175514584209,4.49723693212026,4.39821655265431,4.75885001519193
"N_Roots",25,4.29294224924012,4.4643469911574,4.47594647855978,3.99271017325284,4.26290918197302
"N_Roots",30,4.29294224924012,4.45395296956134,4.46898889797365,3.75059134209692,4.10083897039813
"FRY",10,4.94615604283529,5.62186946186591,5.62647091649473,13.661384986214,13.754415909399
"FRY",15,4.94615604283529,5.53592068007787,5.51327428465719,11.9236965460659,11.4658380550567
"FRY",20,4.94615604283529,5.45648557996858,5.46355240553185,10.3176999009671,10.4605750044225
"FRY",25,4.94615604283529,5.39631901769994,5.39455606349537,9.1012691667246,9.06562625151315
"FRY",30,4.94615604283529,5.34493346273579,5.34404473424768,8.06237038312089,8.044402319024
"ShY",10,14.2276081534772,15.6145489359386,15.6685259597428,9.74823573646481,10.1276180136674
"ShY",15,14.2276081534772,15.396292732552,15.4254757364425,8.21420274207617,8.41931806136016
"ShY",20,14.2276081534772,15.2533083116201,15.2215723249666,7.20922411608764,6.98616493206199
"ShY",25,14.2276081534772,15.1939341144954,15.2442737771542,6.79190732970849,7.14572409297455
"ShY",30,14.2276081534772,15.1446596314675,15.2026952075456,6.44557727551826,6.8534854456902
"DMC",10,29.0582529189292,29.6298748541879,29.6037455098452,1.96715864802153,1.87723808598519
"DMC",15,29.0582529189292,29.5476170923027,29.5810896690059,1.6840798197289,1.79927111081115
"DMC",20,29.0582529189292,29.4606000334913,29.5059793142616,1.38462252250562,1.5407891058747
"DMC",25,29.0582529189292,29.4253552306274,29.4348076778268,1.26333235766932,1.29586166087865
"DMC",30,29.0582529189292,29.3881509193605,29.4113545923658,1.13529881287667,1.21515107746392
"StY",10,1.51637718107623,1.67904631846661,1.68382916472471,10.7274851811557,11.0428978843929
"StY",15,1.51637718107623,1.646614246504,1.64735058849542,8.58869858060887,8.63725787051416
"StY",20,1.51637718107623,1.63630056997375,1.63039679353785,7.9085461318014,7.51921183492715
"StY",25,1.51637718107623,1.62320700698029,1.62170053127933,7.04506947461735,6.94572244409167
